gene,number_of_tissues
ENSMUSG00000004110,0
ENSMUSG00000004113,31
ENSMUSG00000004151,73
ENSMUSG00000004187,71
ENSMUSG00000004207,91
ENSMUSG00000004221,91
ENSMUSG00000004231,11
ENSMUSG00000004233,91
ENSMUSG00000004263,91
ENSMUSG00000004264,91
ENSMUSG00000004266,80
ENSMUSG00000004267,74
ENSMUSG00000004268,91
ENSMUSG00000004270,91
ENSMUSG00000004285,91
ENSMUSG00000004296,2
ENSMUSG00000004317,91
ENSMUSG00000004319,91
ENSMUSG00000004328,50
ENSMUSG00000004341,6
ENSMUSG00000004344,3
ENSMUSG00000004347,32
ENSMUSG00000004356,89
ENSMUSG00000004359,21
ENSMUSG00000004360,37
ENSMUSG00000004364,91
ENSMUSG00000004366,37
ENSMUSG00000004371,2
ENSMUSG00000004393,91
ENSMUSG00000004394,91
ENSMUSG00000004446,90
ENSMUSG00000004451,91
ENSMUSG00000004455,91
ENSMUSG00000004460,91
ENSMUSG00000004462,91
ENSMUSG00000004473,33
ENSMUSG00000004500,90
ENSMUSG00000004508,87
ENSMUSG00000004530,91
ENSMUSG00000004535,91
ENSMUSG00000004540,2
ENSMUSG00000004542,2
ENSMUSG00000004552,54
ENSMUSG00000004558,85
ENSMUSG00000004561,90
ENSMUSG00000004562,79
ENSMUSG00000004565,91
ENSMUSG00000004567,91
ENSMUSG00000004568,81
ENSMUSG00000004591,91
ENSMUSG00000004609,66
ENSMUSG00000004610,91
ENSMUSG00000004612,42
ENSMUSG00000004613,2
ENSMUSG00000004626,90
ENSMUSG00000004630,7
ENSMUSG00000004631,72
ENSMUSG00000004633,85
ENSMUSG00000004637,91
ENSMUSG00000004642,91
ENSMUSG00000004651,3
ENSMUSG00000004654,2
ENSMUSG00000004655,68
ENSMUSG00000004661,87
ENSMUSG00000004665,88
ENSMUSG00000004667,91
ENSMUSG00000004668,9
ENSMUSG00000004677,91
ENSMUSG00000004698,59
ENSMUSG00000004707,44
ENSMUSG00000004709,11
ENSMUSG00000004730,66
ENSMUSG00000004748,83
ENSMUSG00000004768,88
ENSMUSG00000004771,91
ENSMUSG00000004788,91
ENSMUSG00000004789,91
ENSMUSG00000004791,57
ENSMUSG00000004798,91
ENSMUSG00000004814,29
ENSMUSG00000004815,91
ENSMUSG00000004821,7
ENSMUSG00000004837,75
ENSMUSG00000004842,1
ENSMUSG00000004843,91
ENSMUSG00000004846,91
ENSMUSG00000004849,91
ENSMUSG00000004864,47
ENSMUSG00000004865,91
ENSMUSG00000004872,13
ENSMUSG00000004880,91
ENSMUSG00000004885,55
ENSMUSG00000004891,71
ENSMUSG00000004892,28
ENSMUSG00000004894,14
ENSMUSG00000004895,91
ENSMUSG00000004896,91
ENSMUSG00000004897,91
ENSMUSG00000004902,19
ENSMUSG00000004929,91
ENSMUSG00000004931,91
ENSMUSG00000004933,56
ENSMUSG00000004934,91
ENSMUSG00000004936,91
ENSMUSG00000004937,91
ENSMUSG00000004947,91
ENSMUSG00000004948,2
ENSMUSG00000004951,64
ENSMUSG00000004952,86
ENSMUSG00000004980,91
ENSMUSG00000004988,15
ENSMUSG00000004994,90
ENSMUSG00000004996,91
ENSMUSG00000005034,90
ENSMUSG00000005043,91
ENSMUSG00000005045,32
ENSMUSG00000005054,91
ENSMUSG00000005057,59
ENSMUSG00000005069,91
ENSMUSG00000005078,91
ENSMUSG00000005087,90
ENSMUSG00000005089,34
ENSMUSG00000005102,91
ENSMUSG00000005103,91
ENSMUSG00000005107,74
ENSMUSG00000005124,50
ENSMUSG00000005125,91
ENSMUSG00000005131,3
ENSMUSG00000005142,91
ENSMUSG00000005148,83
ENSMUSG00000005150,91
ENSMUSG00000005161,91
ENSMUSG00000005198,91
ENSMUSG00000005202,4
ENSMUSG00000005204,91
ENSMUSG00000005220,17
ENSMUSG00000005225,88
ENSMUSG00000005232,2
ENSMUSG00000005233,72
ENSMUSG00000005251,45
ENSMUSG00000005262,91
ENSMUSG00000005267,76
ENSMUSG00000005268,54
ENSMUSG00000005299,91
ENSMUSG00000005312,91
ENSMUSG00000005320,33
ENSMUSG00000005338,67
ENSMUSG00000005354,91
ENSMUSG00000005355,7
ENSMUSG00000005357,31
ENSMUSG00000005360,71
ENSMUSG00000005362,91
ENSMUSG00000005364,8
ENSMUSG00000005370,91
ENSMUSG00000005371,91
ENSMUSG00000005373,49
ENSMUSG00000005374,91
ENSMUSG00000005378,91
ENSMUSG00000005410,86
ENSMUSG00000005413,90
ENSMUSG00000005417,91
ENSMUSG00000005442,91
ENSMUSG00000005447,89
ENSMUSG00000005465,43
ENSMUSG00000005469,91
ENSMUSG00000005470,71
ENSMUSG00000005474,4
ENSMUSG00000005481,91
ENSMUSG00000005483,91
ENSMUSG00000005501,91
ENSMUSG00000005505,91
ENSMUSG00000005506,91
ENSMUSG00000005514,91
ENSMUSG00000005533,90
ENSMUSG00000005534,91
ENSMUSG00000005540,20
ENSMUSG00000005547,8
ENSMUSG00000005553,6
ENSMUSG00000005566,91
ENSMUSG00000005575,91
ENSMUSG00000005580,48
ENSMUSG00000005583,83
ENSMUSG00000005609,91
ENSMUSG00000005610,91
ENSMUSG00000005611,57
ENSMUSG00000005615,91
ENSMUSG00000005621,91
ENSMUSG00000005625,91
ENSMUSG00000005628,17
ENSMUSG00000005640,13
ENSMUSG00000005649,1
ENSMUSG00000005656,91
ENSMUSG00000005667,84
ENSMUSG00000005672,84
ENSMUSG00000005674,91
ENSMUSG00000005677,14
ENSMUSG00000005681,28
ENSMUSG00000005682,91
ENSMUSG00000005683,91
ENSMUSG00000005686,80
ENSMUSG00000005687,91
ENSMUSG00000005696,10
ENSMUSG00000005698,91
ENSMUSG00000005699,91
ENSMUSG00000005705,82
ENSMUSG00000005716,35
ENSMUSG00000005718,88
ENSMUSG00000005732,91
ENSMUSG00000005763,26
ENSMUSG00000005774,91
ENSMUSG00000005779,91
ENSMUSG00000005800,21
ENSMUSG00000005802,87
ENSMUSG00000005803,89
ENSMUSG00000005813,91
ENSMUSG00000005823,91
ENSMUSG00000005824,19
ENSMUSG00000005836,55
ENSMUSG00000005846,91
ENSMUSG00000005871,91
ENSMUSG00000005873,91
ENSMUSG00000005881,91
ENSMUSG00000005883,12
