"","baseMean","baseVar","allZero","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","dispMAP"
"Grb10",421.001092181563,257777.712931852,FALSE,2.2898605074331,1.16517526094925,2.28563666359794,10,FALSE,2.28563666359794
"Grb14",135.543511972001,37754.0897092595,FALSE,1.78381002161523,1.77555034716105,1.78384383598521,8,FALSE,1.78384383598521
"Grb2",405.859141389059,70750.6159661304,FALSE,0.216381149884693,1.1759881177382,0.217252383833977,12,FALSE,0.217252383833977
"Grb7",99.1166815984316,24997.5808059229,FALSE,3.4195410840976,2.10638658306465,3.41636380774747,13,FALSE,3.41636380774747
"Grcc10",371.850045398001,62542.4309350481,FALSE,0.328346702956945,1.20348409070225,0.329256587942378,14,FALSE,0.329256587942378
"Greb1",12.556188333321,942.674922817578,FALSE,2.72281273054776,10.5929590333683,2.73193435649106,11,FALSE,2.73193435649106
"Greb1l",34.1736531494708,1861.5050699409,FALSE,1.47534043745421,4.44582464522232,1.47916395769687,12,FALSE,1.47916395769687
"Grem1",29.7921877868112,26467.5998741899,FALSE,5.99280754835814,4.97092553487416,5.99027125385203,9,FALSE,5.99027125385203
"Grem2",40.9315636691967,3684.21798360689,FALSE,2.85771842368163,3.85632999348354,2.85985762675543,10,FALSE,2.85985762675543
"Grhl1",24.7552671453473,5574.59602097985,FALSE,2.35598751986106,5.80424642597456,2.35994009277386,13,FALSE,2.35994009277386
"Grhl2",16.8597863477559,688.721136623173,FALSE,5.14716340350531,8.11246043615553,5.15459492807203,10,FALSE,5.15459492807203
"Grhl3",27.2634569147368,9620.78511365834,FALSE,4.9016663283149,5.35079682097134,4.90252700250726,9,FALSE,4.90252700250726
"Grhpr",208.099140869908,102278.337809972,FALSE,0.907063399215152,1.4616879663871,0.907892547686008,13,FALSE,0.907892547686008
"Gria1",57.5989478793488,26962.0023760017,FALSE,5.92732452149459,2.99372546141834,5.91914517774624,11,FALSE,5.91914517774624
"Gria2",109.041351017681,97197.2326006691,FALSE,7.77151851182023,1.99434086924549,7.74635197385807,12,FALSE,7.74635197385807
"Gria3",55.819650188856,11161.2723621746,FALSE,1.65940248243696,3.06125038933792,1.66138629742764,13,FALSE,1.66138629742764
"Gria4",88.3987991786713,37748.0989531431,FALSE,4.88166487938736,2.25564301128058,4.87386970230089,14,FALSE,4.87386970230089
"Grid1",20.615928664029,1757.64368354996,FALSE,4.38410172698415,6.79388723590611,4.38887069689757,10,FALSE,4.38887069689757
"Grid2",20.4187778721807,6277.76198300273,FALSE,5.74499362542892,6.85103286967546,5.74775510994039,9,FALSE,5.74775510994039
"Grid2ip",4.74443811149274,364.647098241941,FALSE,4.40391911130067,26.5930671257628,4.43036569486604,12,FALSE,4.43036569486604
"Grifin",2.13760090474467,136.182202327357,FALSE,19.0848061836372,57.9562171674624,19.2868976914424,10,FALSE,19.2868976914424
"Grik1",15.7585848777102,1001.45601203569,FALSE,4.3935111413194,8.61818573036444,4.40151885021122,10,FALSE,4.40151885021122
"Grik2",73.3449358642775,24920.9709951237,FALSE,4.57903989705205,2.53894436191345,4.57457825270323,11,FALSE,4.57457825270323
"Grik3",30.3831129808982,5463.46289475392,FALSE,6.16563639321011,4.89127017272797,6.16221414449285,9,FALSE,6.16221414449285
"Grik4",6.45348556268437,137.961718943248,FALSE,3.27035381706357,19.7823605899306,3.28870041851046,11,FALSE,3.28870041851046
"Grik5",61.1488594440362,17845.6930825039,FALSE,2.15264675891913,2.8707462233877,2.15432432536701,10,FALSE,2.15432432536701
"Grin1",272.634187565032,644045.991065922,FALSE,9.03215585698763,1.32289667955489,8.9955841477096,14,FALSE,8.9955841477096
"Grin2a",28.3334591088686,10435.9062578561,FALSE,9.84901629836278,5.18178334931201,9.82918465024049,10,FALSE,9.82918465024049
"Grin2b",55.8879602537934,30700.4933001131,FALSE,14.7407788135713,3.05857863512109,14.6561199779863,13,FALSE,14.6561199779863
"Grin2c",8.29484109246104,1815.53517332969,FALSE,8.32789231288132,15.5852306741064,8.34749587339985,12,FALSE,8.34749587339985
"Grin2d",1.34888911774928,19.452929217418,FALSE,10.3792989625083,91.3320899156129,10.5549697945876,11,FALSE,10.5549697945876
"Grin3a",8.71250217552187,407.468417052389,FALSE,4.56672376463647,14.8800665393949,4.58308873369706,11,FALSE,4.58308873369706
"Grina",1022.43622623013,1036508.18119969,FALSE,0.71130899227313,0.994690125577703,0.711764540007028,13,FALSE,0.711764540007028
"Grip1",8.94164218204625,15745.8152038848,FALSE,330,14.5211793881535,299.222290753519,9,FALSE,299.222290753519
"Grip2",10.8982217970795,557.483785441292,FALSE,2.88930610106037,12.0713165456147,2.90033792008058,10,FALSE,2.90033792008058
"Gripap1",29.0864879472359,345.050728824435,FALSE,0.259940115005146,5.07029283999888,0.262154548709927,12,FALSE,0.262154548709927
"Grk1",2.75845138575188,1392.38859637024,FALSE,330,45.1089061456085,330,10,FALSE,330
"Grk4",11.4394244844243,2338.26965586632,FALSE,1.18469020273415,11.5416320002352,1.19089000901511,14,FALSE,1.19089000901511
"Grk6",63.8154449631466,4826.39910828105,FALSE,0.503220724461909,2.78736686882951,0.505265042185321,12,FALSE,0.505265042185321
"Grlf1",132.141694641981,8762.95270824272,FALSE,0.477686646388823,1.79872480369725,0.479180494626398,12,FALSE,0.479180494626398
"Grm1",13.4240858751522,2320.50719664268,FALSE,21.4267688821601,9.96469370872641,21.3268336124497,10,FALSE,21.3268336124497
"Grm2",11.9209137340531,1509.4813468236,FALSE,20.5433792105613,11.1108177608496,20.4658419525226,10,FALSE,20.4658419525226
"Grm3",27.62563049224,6609.18013845808,FALSE,11.093814831136,5.29212348011156,11.0655155891895,11,FALSE,11.0655155891895
"Grm4",11.5858134305001,8187.53693977875,FALSE,7.6142768680043,11.4068615271115,7.62413725457544,10,FALSE,7.62413725457544
"Grm5",87.5356731373729,67614.5556285652,FALSE,19.1157333234586,2.26925306858709,18.949661468768,13,FALSE,18.949661468768
"Grm6",0.794144811394032,149.159366604474,FALSE,227.430907715735,154.520012161752,222.360489120128,9,FALSE,222.360489120128
"Grm7",34.7117316355039,7225.56149713929,FALSE,4.83799698958734,4.39047751382649,4.83704502714298,9,FALSE,4.83704502714298
"Grm8",4.07227497594626,62.2284679001911,FALSE,3.76586433211533,30.8379917589167,3.79590583848765,12,FALSE,3.79590583848765
"Grn",478.340077383612,918319.489013108,FALSE,0.913919340528471,1.13043387133188,0.914427587969272,10,FALSE,0.914427587969272
