"","sample","tissue","other","sampleGood","sizeFactor"
"sample145","counts.granulocyte%20macrophage%20progenitor%20GMP%2c%20biol_rep3.CNhs11928.12129-128D5","granulocyte macrophage progenitor GMP","biol_rep3.CNhs11928.12129-128D5","sample145",0.775098216942662
"sample146","counts.heart%2c%20embryo%20E11.CNhs10586.331-24E9","heart","embryo E11.CNhs10586.331-24E9","sample146",1.11431084273224
"sample147","counts.heart%2c%20embryo%20E12.CNhs11015.353-12F5","heart","embryo E12.CNhs11015.353-12F5","sample147",0.971962597693152
"sample148","counts.heart%2c%20embryo%20E13.CNhs11013.376-3I9","heart","embryo E13.CNhs11013.376-3I9","sample148",1.27591152494108
"sample149","counts.heart%2c%20embryo%20E14.CNhs10597.403-26D4","heart","embryo E14.CNhs10597.403-26D4","sample149",0.988452700525651
"sample150","counts.heart%2c%20embryo%20E15.CNhs11017.431-16C8","heart","embryo E15.CNhs11017.431-16C8","sample150",1.19079393247642
"sample151","counts.heart%2c%20embryo%20E16.CNhs11021.457-17C6","heart","embryo E16.CNhs11021.457-17C6","sample151",1.51576693500109
"sample152","counts.heart%2c%20embryo%20E17.CNhs11025.479-18E5","heart","embryo E17.CNhs11025.479-18E5","sample152",1.00333939034161
"sample153","counts.heart%2c%20embryo%20E18.CNhs11030.1283-20G3","heart","embryo E18.CNhs11030.1283-20G3","sample153",0.87987350189686
"sample154","counts.heart%2c%20neonate%20N00.CNhs11213.639-21E3","heart","neonate N00.CNhs11213.639-21E3","sample154",2.09319791106092
"sample155","counts.heart%2c%20neonate%20N03.CNhs11221.1349-25I2","heart","neonate N03.CNhs11221.1349-25I2","sample155",1.44545794392162
"sample156","counts.heart%2c%20neonate%20N10.CNhs11118.749-24G1","heart","neonate N10.CNhs11118.749-24G1","sample156",1.46765642928132
"sample157","counts.heart%2c%20neonate%20N16.CNhs11209.782-15G1","heart","neonate N16.CNhs11209.782-15G1","sample157",3.03791726293424
"sample158","counts.heart%2c%20neonate%20N20.CNhs11127.821-26I6","heart","neonate N20.CNhs11127.821-26I6","sample158",1.66352751264509
"sample159","counts.heart%2c%20neonate%20N25.CNhs11196.1351-25D3","heart","neonate N25.CNhs11196.1351-25D3","sample159",1.08739325952736
"sample160","counts.heart%2c%20neonate%20N30.CNhs11202.1390-42D2","heart","neonate N30.CNhs11202.1390-42D2","sample160",1.83095866840219
"sample161","counts.hippocampus%2c%20adult.CNhs10478.13-16E8","hippocampus","adult.CNhs10478.13-16E8","sample161",1.19185201971313
"sample162","counts.hippocampus%2c%20neonate%20N00.CNhs11228.627-43G1","hippocampus","neonate N00.CNhs11228.627-43G1","sample162",2.40161549162091
